고객번호,역명,날짜,총승객수
13307,동대문역1,2026-08-29,28478
17682,경복궁역,2026-08-29,42314
137601,종로3가역3,2026-08-29,21406
214696,안국역,2026-08-29,48127
248906,혜화역,2026-08-29,75091
252579,시청역1,2026-08-29,40779
262188,신당역2,2026-08-29,27330
266613,동대입구역,2026-08-29,19888
315938,을지로3가역2,2026-08-29,34599
316239,을지로3가역3,2026-08-29,19139
342971,을지로4가역5,2026-08-29,9941
362246,약수역3,2026-08-29,19675
390183,시청역2,2026-08-29,30128
399808,명동역,2026-08-29,76737
451150,왕십리역5,2026-08-29,8973
828353,상봉역,2026-08-29,31658
978203,아차산역,2026-08-29,24921
1159721,군자역5,2026-08-29,23593
1506473,성신여대입구역,2026-08-29,39295
1703793,길음역,2026-08-29,31721
1895650,쌍문역,2026-08-29,44656
2296399,상계역,2026-08-29,30222
2956726,미아역,2026-08-29,24302
4769658,답십리역,2026-08-29,22334
4779648,장한평역,2026-08-29,28512
6205316,동대문역사문화공원역5,2026-08-29,3722
6240178,동대문역사문화공원역2,2026-08-29,33258
6240196,동대문역사문화공원역4,2026-08-29,37750
6390427,행당역,2026-08-29,10941
6499412,사가정역,2026-08-29,25795
6735213,먹골역,2026-08-29,16775
6742276,어린이대공원역,2026-08-29,24658
6743375,건대입구역7,2026-08-29,27347
20681438,신정네거리역,2026-08-29,14873
21091226,방화역,2026-08-29,11111
21205524,신용산역,2026-08-29,44530
22277395,삼성역,2026-08-29,62693
22357530,학여울역,2026-08-29,11880
22652784,대청역,2026-08-29,13339
23011906,신도림역,2026-08-29,90886
23654087,방이역,2026-08-29,12191
23726393,석촌역,2026-08-29,16623
24167685,굽은다리역,2026-08-29,16812
24583082,잠실새내역,2026-08-29,43531
24630785,총신대입구역4,2026-08-29,33492
24635854,이대역,2026-08-29,28073
24655212,대치역,2026-08-29,23458
24666597,강동역,2026-08-29,29054
24691164,고속터미널역3,2026-08-29,122532
26547747,마포역,2026-08-29,18513
27579083,까치산역5,2026-08-29,42453
29689088,영등포구청역5,2026-08-29,6127
29874620,양평역,2026-08-29,9442
30154123,문정역,2026-08-29,22426
30179738,복정역,2026-08-29,12317
30632270,길동역,2026-08-29,15618
31750442,암사역,2026-08-29,24519
31829466,온수역,2026-08-29,12064
31834359,신풍역,2026-08-29,18185
31842931,천왕역,2026-08-29,15809
31914399,석계역,2026-08-29,14971
31921584,응암역,2026-08-29,27309
31928061,돌곶이역,2026-08-29,16624
32013846,증산역,2026-08-29,14677
32026818,창신역,2026-08-29,4396
32072396,삼각지역6,2026-08-29,15207
32082173,녹사평역,2026-08-29,11959
32086710,보문역,2026-08-29,11844
32121991,버티고개역,2026-08-29,3446
32125776,이태원역,2026-08-29,32030
32144824,약수역6,2026-08-29,5738
32864224,월드컵경기장역,2026-08-29,10020
32909986,보문역,2026-08-29,11844
35270286,동묘앞역1,2026-08-29,27854
35438586,서울대입구역,2026-08-29,75519
35487398,역삼역,2026-08-29,43471
35833138,왕십리역2,2026-08-29,27513
36081434,경찰병원역,2026-08-29,9587
41559288,강일역,2026-08-29,8859
42547672,암사역사공원역,2026-08-29,9374
