역명,납기,사용일,검침일자,지침값,일사용량(톤),납기별누적사용량(톤)
강동역,2026-07-31,2026-06-04,2026-06-05,"112,791",52,1704
강일역,2026-08-31,2026-06-04,2026-06-05,"7,346",10,91
건대입구역7,2026-07-31,2026-06-04,2026-06-05,"38,145",28,428
경복궁역,2026-07-31,2026-06-04,2026-06-05,"54,991",60,623
경찰병원역,2026-07-31,2026-06-04,2026-06-05,"23,300",14,421
고속터미널역3,2026-07-31,2026-06-04,2026-06-05,"23,215",30,917
군자역5,2026-08-31,2026-06-04,2026-06-05,"52,701",49,152
굽은다리역,2026-08-31,2026-06-04,2026-06-05,"18,618",18,121
길동역,2026-07-31,2026-06-04,2026-06-05,"1,423",4,123
길음역,2026-08-31,2026-06-04,2026-06-05,"29,536",22,341
까치산역5,2026-07-31,2026-06-04,2026-06-05,"10,227",41,1584
녹사평역,2026-07-31,2026-06-04,2026-06-05,"33,036",17,974
답십리역,2026-08-31,2026-06-04,2026-06-05,"6,853",27,163
대청역,2026-08-31,2026-06-04,2026-06-05,"14,371",13,142
대치역,2026-06-30,2026-06-04,2026-06-05,"46,218",11,360
돌곶이역,2026-06-30,2026-06-04,2026-06-05,"3,353",6,452
동대문역1,2026-08-31,2026-06-04,2026-06-05,"46,436",50,931
동대문역사문화공원역2,2026-06-30,2026-06-04,2026-06-05,"16,133",13,858
동대문역사문화공원역4,2026-06-30,2026-06-04,2026-06-05,"36,128",64,2861
동대문역사문화공원역5,2026-08-31,2026-06-04,2026-06-05,"5,485",18,111
동대입구역,2026-07-31,2026-06-04,2026-06-05,"14,549",28,1074
동묘앞역1,2026-07-31,2026-06-04,2026-06-05,"33,414",25,1190
마포역,2026-06-30,2026-06-04,2026-06-05,"24,312",26,1660
먹골역,2026-06-30,2026-06-04,2026-06-05,"19,875",20,1304
명동역,2026-07-31,2026-06-04,2026-06-05,"13,755",42,332
문정역,2026-07-31,2026-06-04,2026-06-05,"28,757",26,648
방이역,2026-08-31,2026-06-04,2026-06-05,"13,717",18,261
방화역,2026-06-30,2026-06-04,2026-06-05,"8,878",21,1122
버티고개역,2026-08-31,2026-06-04,2026-06-05,"4,184",9,34
보문역,2026-06-30,2026-06-04,2026-06-05,"27,047",18,1236
복정역,2026-07-31,2026-06-04,2026-06-05,"41,919",24,645
사가정역,2026-07-31,2026-06-04,2026-06-05,"46,580",42,1881
삼각지역6,2026-06-30,2026-06-04,2026-06-05,"12,315",15,960
삼성역,2026-06-30,2026-06-04,2026-06-05,"33,230",31,1664
상계역,2026-07-31,2026-06-04,2026-06-05,"38,750",23,357
상봉역,2026-07-31,2026-06-04,2026-06-05,"32,837",29,933
서울대입구역,2026-07-31,2026-06-04,2026-06-05,"14,972",39,1948
석계역,2026-08-31,2026-06-04,2026-06-05,"7,187",20,322
석촌역,2026-08-31,2026-06-04,2026-06-05,"23,277",17,77
성신여대입구역,2026-07-31,2026-06-04,2026-06-05,"78,061",33,1166
시청역2,2026-07-31,2026-06-04,2026-06-05,"20,663",52,626
신당역2,2026-08-31,2026-06-04,2026-06-05,"23,593",25,312
신도림역,2026-08-31,2026-06-04,2026-06-05,"84,579",76,1231
신용산역,2026-06-30,2026-06-04,2026-06-05,"19,187",28,1649
신정네거리역,2026-08-31,2026-06-04,2026-06-05,"26,254",15,141
신풍역,2026-08-31,2026-06-04,2026-06-05,"3,409",12,54
쌍문역,2026-06-30,2026-06-04,2026-06-05,"25,162",31,913
아차산역,2026-07-31,2026-06-04,2026-06-05,"23,096",36,1646
안국역,2026-07-31,2026-06-04,2026-06-05,"37,223",38,1957
암사역,2026-07-31,2026-06-04,2026-06-05,"48,723",26,755
암사역사공원역,2026-08-31,2026-06-04,2026-06-05,"7,538",8,38
약수역3,2026-07-31,2026-06-04,2026-06-05,"4,009",28,77
약수역6,2026-07-31,2026-06-04,2026-06-05,"18,334",26,514
어린이대공원역,2026-08-31,2026-06-04,2026-06-05,"28,442",34,610
영등포구청역5,2026-07-31,2026-06-04,2026-06-05,"7,285",14,382
온수역,2026-08-31,2026-06-04,2026-06-05,"66,028",23,87
왕십리역2,2026-07-31,2026-06-04,2026-06-05,"18,971",19,821
왕십리역5,2026-07-31,2026-06-04,2026-06-05,"57,989",74,1568
월드컵경기장역,2026-07-31,2026-06-04,2026-06-05,"72,631",14,588
을지로3가역2,2026-07-31,2026-06-04,2026-06-05,"16,756",34,1194
을지로3가역3,2026-07-31,2026-06-04,2026-06-05,"49,918",26,47
을지로4가역5,2026-07-31,2026-06-04,2026-06-05,"21,508",28,1171
응암역,2026-06-30,2026-06-04,2026-06-05,"1,488",3,182
이대역,2026-07-31,2026-06-04,2026-06-05,"29,072",29,1211
이태원역,2026-08-31,2026-06-04,2026-06-05,"33,803",23,76
잠실새내역,2026-07-31,2026-06-04,2026-06-05,"53,565",25,1198
장한평역,2026-06-30,2026-06-04,2026-06-05,"21,300",27,1313
종로3가역3,2026-07-31,2026-06-04,2026-06-05,"32,686",62,190
증산역,2026-08-31,2026-06-04,2026-06-05,"26,482",11,156
창신역,2026-08-31,2026-06-04,2026-06-05,"5,875",10,37
총신대입구(이수)역4,2026-07-31,2026-06-04,2026-06-05,"59,342",29,950
학여울역,2026-06-30,2026-06-04,2026-06-05,"10,729",12,668
행당역,2026-08-31,2026-06-04,2026-06-05,"12,188",15,61
혜화역,2026-06-30,2026-06-04,2026-06-05,"40,472",39,1466
