고객번호,역명,사용일,승차총승객수,하차총승객수
000013307,1호선 동대문역,2015-01-01,9081,10579
000013307,1호선 동대문역,2015-01-02,13814,16551
000013307,1호선 동대문역,2015-01-03,13764,16545
000013307,1호선 동대문역,2015-01-04,13265,15360
000013307,1호선 동대문역,2015-01-05,16495,18120
000013307,1호선 동대문역,2015-01-06,16075,18068
000013307,1호선 동대문역,2015-01-07,15916,17168
000013307,1호선 동대문역,2015-01-08,16146,17791
000013307,1호선 동대문역,2015-01-09,17095,18783
000013307,1호선 동대문역,2015-01-10,17046,18775
000013307,1호선 동대문역,2015-01-11,13429,16828
000013307,1호선 동대문역,2015-01-12,15881,17491
000013307,1호선 동대문역,2015-01-13,16637,18114
000013307,1호선 동대문역,2015-01-14,16727,18091
000013307,1호선 동대문역,2015-01-15,16615,18433
000013307,1호선 동대문역,2015-01-16,16442,17894
000013307,1호선 동대문역,2015-01-17,16643,18680
000013307,1호선 동대문역,2015-01-18,13754,16309
000013307,1호선 동대문역,2015-01-19,15514,17127
000013307,1호선 동대문역,2015-01-20,16557,18208
000013307,1호선 동대문역,2015-01-21,16733,18429
000013307,1호선 동대문역,2015-01-22,16376,18204
000013307,1호선 동대문역,2015-01-23,16917,18890
000013307,1호선 동대문역,2015-01-24,17149,19319
000013307,1호선 동대문역,2015-01-25,12839,15563
000013307,1호선 동대문역,2015-01-26,15976,17762
000013307,1호선 동대문역,2015-01-27,16316,18009
000013307,1호선 동대문역,2015-01-28,15880,17603
000013307,1호선 동대문역,2015-01-29,16124,17810
000013307,1호선 동대문역,2015-01-30,16628,18319
000013307,1호선 동대문역,2015-01-31,15955,17676
000013307,1호선 동대문역,2015-02-01,13296,16229
000013307,1호선 동대문역,2015-02-02,15995,17609
000013307,1호선 동대문역,2015-02-03,16336,17892
000013307,1호선 동대문역,2015-02-04,16595,18237
000013307,1호선 동대문역,2015-02-05,16265,17995
000013307,1호선 동대문역,2015-02-06,17201,18706
000013307,1호선 동대문역,2015-02-07,16592,18645
000013307,1호선 동대문역,2015-02-08,11683,14357
000013307,1호선 동대문역,2015-02-09,15003,16536
000013307,1호선 동대문역,2015-02-10,16337,17667
000013307,1호선 동대문역,2015-02-11,16750,18463
000013307,1호선 동대문역,2015-02-12,16288,18301
000013307,1호선 동대문역,2015-02-13,17169,18884
000013307,1호선 동대문역,2015-02-14,16347,18173
000013307,1호선 동대문역,2015-02-15,13294,16306
000013307,1호선 동대문역,2015-02-16,15466,16982
000013307,1호선 동대문역,2015-02-17,15998,17165
000013307,1호선 동대문역,2015-02-18,11651,14472
000013307,1호선 동대문역,2015-02-19,14074,15911
000013307,1호선 동대문역,2015-02-20,15323,17068
000013307,1호선 동대문역,2015-02-21,12203,14683
000013307,1호선 동대문역,2015-02-22,12819,15304
000013307,1호선 동대문역,2015-02-23,16484,19360
000013307,1호선 동대문역,2015-02-24,17600,20428
000013307,1호선 동대문역,2015-02-25,17886,20628
000013307,1호선 동대문역,2015-02-26,17623,20636
000013307,1호선 동대문역,2015-02-27,17484,20288
000013307,1호선 동대문역,2015-02-28,18952,21518
000013307,1호선 동대문역,2015-03-01,13912,17042
000013307,1호선 동대문역,2015-03-02,17353,18642
000013307,1호선 동대문역,2015-03-03,16202,17953
000013307,1호선 동대문역,2015-03-04,16514,18091
000013307,1호선 동대문역,2015-03-05,16736,18538
000013307,1호선 동대문역,2015-03-06,18099,20116
000013307,1호선 동대문역,2015-03-07,18582,21292
000013307,1호선 동대문역,2015-03-08,15664,18770
000013307,1호선 동대문역,2015-03-09,16802,18703
000013307,1호선 동대문역,2015-03-10,15862,17458
000013307,1호선 동대문역,2015-03-11,16761,18604
000013307,1호선 동대문역,2015-03-12,16916,18761
000013307,1호선 동대문역,2015-03-13,18197,20402
000013307,1호선 동대문역,2015-03-14,19592,22606
000013307,1호선 동대문역,2015-03-15,16577,20086
000013307,1호선 동대문역,2015-03-16,17560,19000
000013307,1호선 동대문역,2015-03-17,17352,19086
000013307,1호선 동대문역,2015-03-18,16458,18279
000013307,1호선 동대문역,2015-03-19,17543,19329
000013307,1호선 동대문역,2015-03-20,18744,21372
000013307,1호선 동대문역,2015-03-21,19911,23342
000013307,1호선 동대문역,2015-03-22,15905,19964
000013307,1호선 동대문역,2015-03-23,17023,19129
000013307,1호선 동대문역,2015-03-24,17559,19182
000013307,1호선 동대문역,2015-03-25,18056,20099
000013307,1호선 동대문역,2015-03-26,17634,19543
000013307,1호선 동대문역,2015-03-27,18443,20635
000013307,1호선 동대문역,2015-03-28,19202,22308
000013307,1호선 동대문역,2015-03-29,15073,18259
