사용일,호선,노선명,역명,역명_원본,승차총승객수,하차총승객수,총승객수
2015-01-01,5,5호선,강동역,강동,8418,7459,15877
2015-01-02,5,5호선,강동역,강동,19166,15501,34667
2015-01-03,5,5호선,강동역,강동,14758,12186,26944
2015-01-04,5,5호선,강동역,강동,11123,9919,21042
2015-01-05,5,5호선,강동역,강동,22112,18490,40602
2015-01-06,5,5호선,강동역,강동,22322,18481,40803
2015-01-07,5,5호선,강동역,강동,21912,18224,40136
2015-01-08,5,5호선,강동역,강동,21967,18461,40428
2015-01-09,5,5호선,강동역,강동,22454,18287,40741
2015-01-10,5,5호선,강동역,강동,18006,15121,33127
2015-01-11,5,5호선,강동역,강동,11832,10499,22331
2015-01-12,5,5호선,강동역,강동,22073,18335,40408
2015-01-13,5,5호선,강동역,강동,22246,18569,40815
2015-01-14,5,5호선,강동역,강동,22073,18772,40845
2015-01-15,5,5호선,강동역,강동,22274,18756,41030
2015-01-16,5,5호선,강동역,강동,22338,18190,40528
2015-01-17,5,5호선,강동역,강동,18157,15439,33596
2015-01-18,5,5호선,강동역,강동,12100,10661,22761
2015-01-19,5,5호선,강동역,강동,22228,18500,40728
2015-01-20,5,5호선,강동역,강동,22149,18571,40720
2015-01-21,5,5호선,강동역,강동,22014,18531,40545
2015-01-22,5,5호선,강동역,강동,21931,18650,40581
2015-01-23,5,5호선,강동역,강동,22577,18405,40982
2015-01-24,5,5호선,강동역,강동,17879,15101,32980
2015-01-25,5,5호선,강동역,강동,11628,10467,22095
2015-01-26,5,5호선,강동역,강동,21598,18103,39701
2015-01-27,5,5호선,강동역,강동,22165,18603,40768
2015-01-28,5,5호선,강동역,강동,21694,18112,39806
2015-01-29,5,5호선,강동역,강동,21906,18536,40442
2015-01-30,5,5호선,강동역,강동,22228,18350,40578
2015-01-31,5,5호선,강동역,강동,16585,13873,30458
2015-02-01,5,5호선,강동역,강동,11068,9602,20670
2015-02-02,5,5호선,강동역,강동,21673,18188,39861
2015-02-03,5,5호선,강동역,강동,21891,18352,40243
2015-02-04,5,5호선,강동역,강동,22644,19102,41746
2015-02-05,5,5호선,강동역,강동,21995,18599,40594
2015-02-06,5,5호선,강동역,강동,22574,18756,41330
2015-02-07,5,5호선,강동역,강동,18815,16126,34941
2015-02-08,5,5호선,강동역,강동,11625,10695,22320
2015-02-09,5,5호선,강동역,강동,22003,18634,40637
2015-02-10,5,5호선,강동역,강동,22170,18441,40611
2015-02-11,5,5호선,강동역,강동,21886,18282,40168
